file,epsilon,QC,1-QS,ret,time
SDN00014_L00010_R00001.txt,0.01,1,0,1,0.0833051530062221
SDN00014_L00010_R00001.txt,0.02,1,0,1,0.129771912994329
SDN00014_L00010_R00001.txt,0.05,1,0,1,0.0871523730456829
SDN00014_L00010_R00001.txt,0.1,1,0,1,0.0868868360412307
SDN00014_L00010_R00001.txt,0.2,1,0,1,0.0858832459780388
SDN00014_L00010_R00001.txt,0.3,0.90952380952381,0.165938864628821,1,0.0882454319507815
SDN00014_L00010_R00001.txt,0.4,0.90952380952381,0.165938864628821,1,0.126727700000629
SDN00014_L00010_R00001.txt,0.5,0.90952380952381,0.165938864628821,1,0.0882107749930583
SDN00015_L00010_R00000.txt,0,1,0,0,0.109612478991039
SDN00015_L00010_R00000.txt,0.01,1,0,0,0.0586561020463705
SDN00015_L00010_R00000.txt,0.02,1,0,0,0.108574781974312
SDN00015_L00010_R00000.txt,0.05,1,0,0,0.0620506230043247
SDN00015_L00010_R00000.txt,0.1,1,0,0,0.0624401730019599
SDN00015_L00010_R00000.txt,0.2,1,0,0,0.0666892650187947
SDN00015_L00010_R00000.txt,0.3,1,0,0,0.0713913550134748
SDN00015_L00010_R00000.txt,0.4,0.852380952380952,0.257261410788382,0,0.116009533987381
SDN00015_L00010_R00000.txt,0.5,1,0,0,0.0780443779658526
SDN00016_L00010_R00003.txt,0,1,0,3,0.0260186649975367
SDN00016_L00010_R00003.txt,0.01,1,0,3,0.0756327239796519
SDN00016_L00010_R00003.txt,0.02,1,0,3,0.0767347589717247
SDN00016_L00010_R00003.txt,0.05,1,0,3,0.121345633990131
SDN00016_L00010_R00003.txt,0.1,1,0,3,0.0783130199997686
SDN00016_L00010_R00003.txt,0.2,1,0,3,0.0797075959853828
SDN00016_L00010_R00003.txt,0.3,1,0,3,0.124570254993159
SDN00016_L00010_R00003.txt,0.4,0.966666666666667,0.0645161290322581,2,0.0755425459938124
SDN00016_L00010_R00003.txt,0.5,0.876190476190476,0.220338983050847,2,0.0803367220214568
SDN00017_L00010_R00003.txt,0,1,0,3,0.0335647200117819
SDN00017_L00010_R00003.txt,0.01,1,0,3,0.0778707729768939
SDN00017_L00010_R00003.txt,0.02,1,0,3,0.120544227946084
SDN00017_L00010_R00003.txt,0.05,1,0,3,0.0921768479747698
SDN00017_L00010_R00003.txt,0.1,1,0,3,0.131028509000316
SDN00017_L00010_R00003.txt,0.2,1,0,3,0.0790875380043872
SDN00017_L00010_R00003.txt,0.3,1,0,3,0.0803613739553839
SDN00017_L00010_R00003.txt,0.4,0.928571428571429,0.133333333333333,2,0.12602483300725
SDN00017_L00010_R00003.txt,0.5,1,0,3,0.0854867190355435
SDN00018_L00010_R00000.txt,0,1,0,0,0.0591197619796731
SDN00018_L00010_R00000.txt,0.01,1,0,0,0.0555934290168807
SDN00018_L00010_R00000.txt,0.02,1,0,0,0.0591172990389168
SDN00018_L00010_R00000.txt,0.05,1,0,0,0.0633025569841266
SDN00018_L00010_R00000.txt,0.1,1,0,0,0.0640814299695194
SDN00018_L00010_R00000.txt,0.2,1,0,0,0.0737079179962166
SDN00018_L00010_R00000.txt,0.3,0.942857142857143,0.108108108108108,0,0.0715677209664136
SDN00018_L00010_R00000.txt,0.4,1,0,0,0.113765238027554
SDN00018_L00010_R00000.txt,0.5,1,0,0,0.07772948598722
SDN00019_L00010_R00002.txt,0,1,0,2,0.020836072973907
SDN00019_L00010_R00002.txt,0.01,1,0,2,0.116094136028551
SDN00019_L00010_R00002.txt,0.02,1,0,2,0.0730963329551742
SDN00019_L00010_R00002.txt,0.05,1,0,2,0.0714449509978294
SDN00019_L00010_R00002.txt,0.1,1,0,2,0.116138987010345
SDN00019_L00010_R00002.txt,0.2,1,0,2,0.0766465800115839
SDN00019_L00010_R00002.txt,0.3,1,0,2,0.0770806359942071
SDN00019_L00010_R00002.txt,0.4,0.966666666666667,0.0645161290322581,2,0.12254276900785
SDN00019_L00010_R00002.txt,0.5,0.814285714285714,0.313253012048193,2,0.0826608819770627
SDN00020_L00010_R00002.txt,0,1,0,2,0.026123705029022
SDN00020_L00010_R00002.txt,0.01,1,0,2,0.118746389984153
SDN00020_L00010_R00002.txt,0.02,1,0,2,0.0785453590215184
SDN00020_L00010_R00002.txt,0.05,1,0,2,0.122717537044082
SDN00020_L00010_R00002.txt,0.1,1,0,2,0.077666562050581
SDN00020_L00010_R00002.txt,0.2,1,0,2,0.0796505600446835
SDN00020_L00010_R00002.txt,0.3,0.966666666666667,0.0645161290322581,3,0.124114537029527
SDN00020_L00010_R00002.txt,0.4,0.966666666666667,0.0645161290322581,2,0.0792156549869105
SDN00020_L00010_R00002.txt,0.5,0.819047619047619,0.306451612903226,1,0.0836671360302717
SDN00021_L00010_R00003.txt,0,1,0,3,0.0721070609870367
SDN00021_L00010_R00003.txt,0.01,1,0,3,0.0729678359930404
SDN00021_L00010_R00003.txt,0.02,1,0,3,0.077547223016154
