file ,QC,QS , ret 
SEQ00013_L00010_R00003_LEN000000100000.nexus,0.885714285714286,0.794871794871795,3
SEQ00013_L00010_R00003_LEN000001000000.nexus,0.852380952380952,0.742738589211618,3
SEQ00014_L00010_R00001_LEN000000001000.nexus,0.966666666666667,0.935483870967742,1
SEQ00014_L00010_R00001_LEN000000010000.nexus,1,1,1
SEQ00014_L00010_R00001_LEN000000100000.nexus,1,1,1
SEQ00014_L00010_R00001_LEN000001000000.nexus,1,1,1
SEQ00015_L00010_R00000_LEN000000001000.nexus,1,1,0
SEQ00015_L00010_R00000_LEN000000010000.nexus,1,1,0
SEQ00015_L00010_R00000_LEN000000100000.nexus,1,1,0
SEQ00015_L00010_R00000_LEN000001000000.nexus,1,1,0
SEQ00016_L00010_R00003_LEN000000001000.nexus,0.966666666666667,0.935483870967742,3
SEQ00016_L00010_R00003_LEN000000010000.nexus,0.966666666666667,0.935483870967742,3
SEQ00016_L00010_R00003_LEN000000100000.nexus,0.966666666666667,0.935483870967742,3
SEQ00016_L00010_R00003_LEN000001000000.nexus,0.966666666666667,0.935483870967742,3
SEQ00017_L00010_R00003_LEN000000001000.nexus,0.966666666666667,0.935483870967742,3
SEQ00017_L00010_R00003_LEN000000010000.nexus,0.966666666666667,0.935483870967742,3
SEQ00017_L00010_R00003_LEN000000100000.nexus,0.895238095238095,0.810344827586207,3
SEQ00017_L00010_R00003_LEN000001000000.nexus,0.895238095238095,0.810344827586207,3
SEQ00018_L00010_R00000_LEN000000001000.nexus,1,1,0
SEQ00018_L00010_R00000_LEN000000010000.nexus,1,1,0
SEQ00018_L00010_R00000_LEN000000100000.nexus,1,1,0
SEQ00018_L00010_R00000_LEN000001000000.nexus,1,1,0
SEQ00019_L00010_R00002_LEN000000001000.nexus,0.895238095238095,0.810344827586207,2
SEQ00019_L00010_R00002_LEN000000010000.nexus,0.928571428571429,0.866666666666667,1
SEQ00019_L00010_R00002_LEN000000100000.nexus,0.928571428571429,0.866666666666667,2
SEQ00019_L00010_R00002_LEN000001000000.nexus,0.928571428571429,0.866666666666667,2
SEQ00020_L00010_R00002_LEN000000001000.nexus,0.795238095238095,0.660079051383399,2
SEQ00020_L00010_R00002_LEN000000010000.nexus,0.885714285714286,0.794871794871795,2
SEQ00020_L00010_R00002_LEN000000100000.nexus,0.885714285714286,0.794871794871795,2
SEQ00020_L00010_R00002_LEN000001000000.nexus,0.885714285714286,0.794871794871795,2
SEQ00021_L00010_R00003_LEN000000001000.nexus,0.838095238095238,0.721311475409836,1
SEQ00021_L00010_R00003_LEN000000010000.nexus,0.871428571428571,0.772151898734177,3
SEQ00021_L00010_R00003_LEN000000100000.nexus,0.871428571428571,0.772151898734177,3
SEQ00021_L00010_R00003_LEN000001000000.nexus,0.871428571428571,0.772151898734177,3
SEQ00022_L00010_R00001_LEN000000001000.nexus,0.966666666666667,0.935483870967742,1
SEQ00022_L00010_R00001_LEN000000010000.nexus,0.966666666666667,0.935483870967742,1
SEQ00022_L00010_R00001_LEN000000100000.nexus,0.966666666666667,0.935483870967742,1
SEQ00022_L00010_R00001_LEN000001000000.nexus,0.966666666666667,0.935483870967742,1
SEQ00023_L00010_R00000_LEN000000001000.nexus,1,1,0
SEQ00023_L00010_R00000_LEN000000010000.nexus,1,1,0
SEQ00023_L00010_R00000_LEN000000100000.nexus,1,1,0
SEQ00023_L00010_R00000_LEN000001000000.nexus,1,1,0
SEQ00024_L00010_R00001_LEN000000001000.nexus,0.880952380952381,0.787234042553192,2
SEQ00024_L00010_R00001_LEN000000010000.nexus,0.966666666666667,0.935483870967742,1
SEQ00024_L00010_R00001_LEN000000100000.nexus,1,1,1
SEQ00024_L00010_R00001_LEN000001000000.nexus,0.966666666666667,0.935483870967742,1
SEQ00025_L00010_R00001_LEN000000001000.nexus,1,1,1
SEQ00025_L00010_R00001_LEN000000010000.nexus,1,1,1
SEQ00025_L00010_R00001_LEN000000100000.nexus,1,1,1
SEQ00025_L00010_R00001_LEN000001000000.nexus,1,1,1
SEQ00026_L00010_R00001_LEN000000001000.nexus,0.885714285714286,0.794871794871795,1
SEQ00026_L00010_R00001_LEN000000010000.nexus,0.885714285714286,0.794871794871795,1
SEQ00026_L00010_R00001_LEN000000100000.nexus,0.885714285714286,0.794871794871795,1
SEQ00026_L00010_R00001_LEN000001000000.nexus,0.885714285714286,0.794871794871795,1
SEQ00027_L00010_R00001_LEN000000001000.nexus,0.523809523809524,0.354838709677419,2
SEQ00027_L00010_R00001_LEN000000010000.nexus,0.542857142857143,0.372549019607843,2
SEQ00027_L00010_R00001_LEN000000100000.nexus,0.542857142857143,0.372549019607843,1
SEQ00027_L00010_R00001_LEN000001000000.nexus,0.542857142857143,0.372549019607843,2
SEQ00028_L00010_R00002_LEN000000001000.nexus,0.923809523809524,0.858407079646018,2
SEQ00028_L00010_R00002_LEN000000010000.nexus,0.866666666666667,0.764705882352941,2
SEQ00028_L00010_R00002_LEN000000100000.nexus,0.866666666666667,0.764705882352941,2
SEQ00028_L00010_R00002_LEN000001000000.nexus,0.866666666666667,0.764705882352941,2
SEQ00029_L00010_R00002_LEN000000001000.nexus,0.928571428571429,0.866666666666667,2
SEQ00029_L00010_R00002_LEN000000010000.nexus,0.928571428571429,0.866666666666667,2
SEQ00029_L00010_R00002_LEN000000100000.nexus,0.928571428571429,0.866666666666667,2
SEQ00029_L00010_R00002_LEN000001000000.nexus,0.928571428571429,0.866666666666667,2
SEQ00030_L00010_R00003_LEN000000001000.nexus,0.823809523809524,0.700404858299595,2
