file 	 epsilon 	 QC 	 QS 	 QCprime 	 ret 	 time 
SDN00008_L00010_R00003.txt	0.4	0.9428571428571428	0.10810810810810811	0.9523809523809523	2	0.07622942799935117
SDN00008_L00010_R00003.txt	0.5	0.8380952380952381	0.2786885245901639	0.8476190476190476	2	0.11211617797380313
SDN00009_L00010_R00000.txt	0	1.0	0.0	1.0	0	0.05378176202066243
SDN00009_L00010_R00000.txt	0.01	1.0	0.0	1.0	0	0.05411957000615075
SDN00009_L00010_R00000.txt	0.02	1.0	0.0	1.0	0	0.10239867202471942
SDN00009_L00010_R00000.txt	0.05	1.0	0.0	1.0	0	0.06247436802368611
SDN00009_L00010_R00000.txt	0.1	1.0	0.0	1.0	0	0.06189720699330792
SDN00009_L00010_R00000.txt	0.2	1.0	0.0	1.0	0	0.07309476402588189
SDN00009_L00010_R00000.txt	0.3	1.0	0.0	1.0	0	0.06941504799760878
SDN00009_L00010_R00000.txt	0.4	0.9238095238095239	0.1415929203539823	0.9206349206349206	0	0.11358425399521366
SDN00009_L00010_R00000.txt	0.5	0.9428571428571428	0.10810810810810811	0.9714285714285714	0	0.0733394289854914
SDN00010_L00010_R00001.txt	0	1.0	0.0	1.0	1	0.04291995899984613
SDN00010_L00010_R00001.txt	0.01	1.0	0.0	1.0	1	0.11729588004527614
SDN00010_L00010_R00001.txt	0.02	1.0	0.0	1.0	1	0.07613944000331685
SDN00010_L00010_R00001.txt	0.05	1.0	0.0	1.0	1	0.12517602398293093
SDN00010_L00010_R00001.txt	0.1	1.0	0.0	1.0	1	0.07713394000893459
SDN00010_L00010_R00001.txt	0.2	0.9380952380952381	0.11659192825112108	0.9523809523809523	1	0.12114253599429503
SDN00010_L00010_R00001.txt	0.3	1.0	0.0	1.0	1	0.07636520202504471
SDN00010_L00010_R00001.txt	0.4	1.0	0.0	1.0	1	0.07829794997815043
SDN00010_L00010_R00001.txt	0.5	0.9666666666666667	0.06451612903225806	0.9809523809523809	1	0.12749426602385938
SDN00011_L00010_R00003.txt	0	1.0	0.0	1.0	3	0.02632007095962763
SDN00011_L00010_R00003.txt	0.01	1.0	0.0	1.0	3	0.076106232998427
SDN00011_L00010_R00003.txt	0.02	1.0	0.0	1.0	3	0.07297478697728366
